ONS ID,ONS region ID,Constituency name,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner,Con %,Lab %,LD %,RUK %,Green %,SNP %,PC %,DUP %,SF %,SDLP %,UUP %,APNI %,Other %,Other Win %
E14001372,E12000002,Morecambe and Lunesdale,Lizzi,Collinge,Female,Lab gain from Con,Lab,Con,76424,48059,171,5815,13788,19603,4769,7810,2089,0,0,0,0,0,0,0,0,0,28.5880157578271,40.644826871242,9.88803649181008,16.1932407215426,4.33132904831018,0,0,0,0,0,0,0,0,0
S14000099,S92000003,"Motherwell, Wishaw and Carluke",Pamela,Nash,Female,Lab gain from SNP,Lab,SNP,71777,39026,125,7085,2415,19168,822,3004,1200,12083,0,0,0,0,0,0,334,0,6.1684248167352,48.9591581313376,2.09956322954714,7.67285637659319,3.06505580955787,30.8625577890731,0,0,0,0,0,0,0.853107200326939,0
S14000027,S92000003,Na h-Eileanan an Iar,Torcuil,Crichton,Male,Lab gain from SNP,Lab,SNP,21325,13528,53,3836,647,6692,382,697,0,2856,0,0,0,0,0,0,2254,0,4.76400854134453,49.2747220381415,2.81275311096385,5.13216994330314,0,21.0293792798763,0,0,0,0,0,0,16.5967160002945,0
W07000103,W92000004,Neath and Swansea East,Carolyn,Harris,Female,Lab hold,Lab,RUK,76291,40137,132,6627,3765,16797,2344,10170,1711,0,5350,0,0,0,0,0,0,0,9.34962378007897,41.711986888177,5.82085475179418,25.2551590553528,4.2489259728327,0,13.2856539770046,0,0,0,0,0,0,0
E14001373,E12000008,New Forest East,Julian,Lewis,Male,Con hold,Con,Lab,70618,45230,146,8495,17412,8917,7198,7646,3118,0,0,0,0,0,0,0,939,0,38.3727080394922,19.6513575458392,15.8630112834979,16.850317348378,6.87147390691114,0,0,0,0,0,0,0,2.06937588152327,0
E14001374,E12000008,New Forest West,Desmond,Swayne,Male,Con hold,Con,Lab,68644,46337,152,5600,16412,10812,8186,7577,2800,0,0,0,0,0,0,0,550,0,35.3029748972875,23.2571145862462,17.6084665189615,16.2984792101357,6.02293015552066,0,0,0,0,0,0,0,1.18307556626299,0
E14001375,E12000004,Newark,Robert,Jenrick,Male,Con hold,Con,Lab,79783,53459,198,3572,20968,17396,3026,8280,2345,0,0,0,0,0,0,0,1444,0,39.0778463201446,32.420746594107,5.63952513185605,15.4313509886874,4.3703524237285,0,0,0,0,0,0,0,2.69116797435563,0
E14001376,E12000008,Newbury,Lee,Dillon,Male,LD gain from Con,LD,Con,71982,48930,173,2377,17268,3662,19645,5357,2714,0,0,0,0,0,0,0,284,0,35.1668940797915,7.45779280288373,40.0077388346944,10.9097203836833,5.52715720017107,0,0,0,0,0,0,0,0.57837606663544,0
E14001377,E12000001,Newcastle upon Tyne Central and West,Chi,Onwurah,Female,Lab hold,Lab,RUK,76822,41355,167,11060,4228,18875,1946,7815,3228,0,0,0,0,0,0,0,5263,0,10.182553826887,45.4578295843167,4.68667212562015,18.8213477192813,7.77419199460527,0,0,0,0,0,0,0,12.6752083232985,0
E14001378,E12000001,Newcastle upon Tyne East and Wallsend,Mary,Glindon,Female,Lab hold,Lab,RUK,76245,42321,123,12817,3522,21200,2965,8383,5257,0,0,0,0,0,0,0,994,0,8.29799264913769,49.9481669965131,6.9856752426727,19.75073037414,12.3857317877674,0,0,0,0,0,0,0,2.34190933936481,0
E14001379,E12000001,Newcastle upon Tyne North,Catherine,McKinnell,Female,Lab hold,Lab,Con,74768,48617,197,17762,6678,24440,5936,5933,5035,0,0,0,0,0,0,0,595,0,13.6805014954726,50.0676035563568,12.1604457737534,12.1542999959028,10.3146638259516,0,0,0,0,0,0,0,1.21891260703896,0
E14001380,E12000005,Newcastle-under-Lyme,Adam,Jogee,Male,Lab gain from Con,Lab,Con,67815,39618,158,5069,10923,15992,1987,8865,1851,0,0,0,0,0,0,0,0,0,27.4612831858407,40.2051488334674,4.99547465808528,22.287308930008,4.65355993563958,0,0,0,0,0,0,0,0,0
W07000104,W92000004,Newport East,Jessica,Morden,Female,Lab hold,Lab,RUK,76683,38531,154,9009,6487,16370,2045,7361,2092,0,2239,0,0,0,0,0,1937,0,16.7687734263927,42.3161432079617,5.28628667442161,19.0280470466589,5.40778079358925,0,5.78777303864547,0,0,0,0,0,5.00710869846194,0
W07000105,W92000004,Newport West and Islwyn,Ruth,Jones,Female,Lab hold,Lab,RUK,75785,41951,163,8868,6710,17409,2087,8541,2078,0,3529,0,0,0,0,0,1597,0,15.9329439141378,41.337797407038,4.95559671368191,20.280666761647,4.93422614807427,0,8.37963622548321,0,0,0,0,0,3.7920881417106,0
N05000011,N92000002,Newry and Armagh,Dáire,Hughes,Male,SF hold,SF,SDLP,78244,45942,294,15493,83,0,0,0,0,0,0,5900,22299,6806,3175,2692,4987,0,0.17951379877152,0,0,0,0,0,0,12.7606194307466,48.2286529976642,14.7201314992646,6.86694350722381,5.82230296738472,10.7859676442599,0
E14001381,E12000009,Newton Abbot,Martin,Wrigley,Male,LD gain from Con,LD,Con,73885,47992,158,2246,12955,7115,15201,8494,2083,0,0,0,0,0,0,0,2144,0,26.9055036344756,14.7767393561786,31.5700934579439,17.6407061266874,4.32606438213915,0,0,0,0,0,0,0,4.4527518172378,0
E14001382,E12000001,Newton Aycliffe and Spennymoor,Alan,Strickland,Male,Lab gain from Con,Lab,RUK,72215,39846,79,8839,8195,18394,1491,9555,1701,0,0,0,0,0,0,0,510,0,20.5259862241703,46.0713838447088,3.73450219160927,23.9323731997495,4.26048841577959,0,0,0,0,0,0,0,1.2773951158422,0
E14001383,E12000003,Normanton and Hemsworth,Jon,Trickett,Male,Lab hold,Lab,RUK,75645,36349,137,6662,4995,17275,1319,10613,2147,0,0,0,0,0,0,0,0,0,13.6901825357671,47.3469275886641,3.61508523817355,29.0878693197391,5.8844488296881,0,0,0,0,0,0,0,0,0
N05000012,N92000002,North Antrim,Jim,Allister,Male,TUV gain from DUP,TUV,DUP,74697,41185,176,450,0,0,0,0,0,0,0,11192,7714,1661,3901,4488,12229,11642,0,0,0,0,0,0,0,27.0593070767148,18.6504194772854,4.01586035153889,9.43159014530596,10.8508014796547,29.5664998428471,28.1472885084983
S14000048,S92000003,North Ayrshire and Arran,Irene,Campbell,Female,Lab gain from SNP,Lab,SNP,72176,42262,161,3551,5954,16821,1005,3415,1327,13270,0,0,0,0,0,0,470,0,14.0348395917309,39.6506611979351,2.36899794922566,8.04987860358768,3.12802017773378,31.2802017773378,0,0,0,0,0,0,1.10788958819508,0
E14001384,E12000006,North Bedfordshire,Richard,Fuller,Male,Con hold,Con,Lab,78850,51561,210,5414,19981,14567,5553,8433,3027,0,0,0,0,0,0,0,0,0,38.5949662938711,28.1373742056364,10.7260821695544,16.2890421278322,5.84690270614823,0,0,0,0,0,0,0,0,0
E14001385,E12000009,North Cornwall,Ben,Maguire,Male,LD gain from Con,LD,Con,76741,51245,47,9957,14137,2958,24094,8444,1335,0,0,0,0,0,0,0,277,0,27.561803010216,5.7669812056461,46.9741870077205,16.4626062543866,2.60274506745691,0,0,0,0,0,0,0,0.540045231225142,0
E14001386,E12000009,North Cotswolds,Geoffrey,Clifton-Brown,Male,Con hold,Con,LD,73203,50229,188,3357,17426,8593,14069,6502,3191,0,0,0,0,0,0,0,448,0,34.5637384215642,17.0438542555091,27.9052700478013,12.8964436598766,6.3292143523018,0,0,0,0,0,0,0,0.888589166352619,0
E14001387,E12000009,North Devon,Ian,Roome,Male,LD gain from Con,LD,Con,79079,51417,132,6744,15076,3216,21820,8137,2348,0,0,0,0,0,0,0,820,0,29.2459601544162,6.23872432054938,42.3286581698966,15.7849812799472,4.55488952259016,0,0,0,0,0,0,0,1.59071950959281,0
E14001388,E12000009,North Dorset,Simon,Hoare,Male,Con hold,Con,LD,72690,49683,153,1589,18208,4370,16619,7894,2082,0,0,0,0,0,0,0,510,0,36.5358375471547,8.76876153784413,33.3473794044466,15.8399550525724,4.17770286539851,0,0,0,0,0,0,0,1.02335660967975,0
N05000013,N92000002,North Down,Alex,Easton,Male,Ind gain from APNI,Ind,APNI,73885,43296,168,7305,0,0,0,0,1247,0,0,0,0,657,6754,13608,21030,20913,0,0,0,0,2.86904104546291,0,0,0,0,1.51159580342352,15.5392968893797,31.3086692435119,48.3848702374379,48.1156819436775
E14001389,E12000001,North Durham,Luke,Akehurst,Male,Lab hold,Lab,RUK,73226,41565,162,5873,6492,16562,4208,10689,2366,0,0,0,0,0,0,0,1248,0,15.5582716226903,39.691326958564,10.0845975028159,25.6165072974333,5.67018956550914,0,0,0,0,0,0,0,2.99086922136746,0
E14001390,E12000006,North East Cambridgeshire,Steve,Barclay,Male,Con hold,Con,RUK,71511,39176,145,7189,16246,8008,2716,9057,2001,0,0,0,0,0,0,0,1148,0,41.3163449556217,20.3657078914575,6.90725057857125,23.0334935530632,5.08888380254826,0,0,0,0,0,0,0,2.91955952290125,0
E14001391,E12000004,North East Derbyshire,Louise,Jones,Female,Lab gain from Con,Lab,Con,73234,45866,120,1753,15838,17591,2159,7899,2271,0,0,0,0,0,0,0,108,0,34.4409168007655,38.2529465489497,4.69490714565302,17.1769669029705,4.93845953116166,0,0,0,0,0,0,0,0.234854086026182,0
S14000100,S92000003,North East Fife,Wendy,Chamberlain,Female,LD gain from SNP,LD,SNP,69762,42728,147,13479,1666,4026,23384,2094,1653,9905,0,0,0,0,0,0,0,0,3.88571428571429,9.39008746355685,54.5399416909621,4.88396501457726,3.85539358600583,23.1020408163265,0,0,0,0,0,0,0,0
E14001392,E12000008,North East Hampshire,Alex,Brewer,Female,LD gain from Con,LD,Con,76923,55560,143,634,20544,5057,21178,6673,1425,0,0,0,0,0,0,0,683,0,36.8813169847225,9.07850564601547,38.0194962569341,11.9796061253433,2.5582105093083,0,0,0,0,0,0,0,1.22614580902285,0
E14001393,E12000006,North East Hertfordshire,Chris,Hinchliff,Male,Lab gain from Con,Lab,Con,77697,52520,173,1923,16435,18358,5463,8462,3802,0,0,0,0,0,0,0,0,0,31.1901011519557,34.8395422541894,10.3676010096218,16.0590590780559,7.21537965194618,0,0,0,0,0,0,0,0,0
E14001394,E12000009,North East Somerset and Hanham,Dan,Norris,Male,Lab gain from Con,Lab,Con,73889,51125,142,5319,15420,20739,3878,7424,3222,0,0,0,0,0,0,0,442,0,30.0778278424718,40.4529229328808,7.56432012795756,14.4810501882302,6.28474457253204,0,0,0,0,0,0,0,0.862153041917803,0
E14001395,E12000005,North Herefordshire,Ellie,Chowns,Female,Green gain from Con,Green,Con,72797,50362,145,5894,15842,3205,1436,8048,21736,0,0,0,0,0,0,0,95,0,31.365949274358,6.34565505771477,2.84317025362821,15.9344249311977,43.0356188251134,0,0,0,0,0,0,0,0.188092739620251,0
